avg_euclid_speed,max_euclid_speed,min_euclid_speed,avg_x_manhattan_speed,max_x_manhattan_speed,min_x_manhattan_speed,avg_y_manhattan_speed,max_y_manhattan_speed,min_y_manhattan_speed,STD to Vertical Central Line,STD to Horizontal Central Line,Ratio A1,Ratio A2,Ratio A3,Ratio A4,Ratio A5,Large Drift from Max Horizontally,Large Drift from Max Vertically,Small Drift from Max Horizontally,Small Drift from Max Vertically,Large Drift from Average Horizontally,Large Drift from Average Vertically,Small Drift from Average Horizontally,Small Drift from Average Vertically,class
9.053035157,0.011502732,36.56132484,5.318488923,0.011205888,25.12782673,6.24140743,0.002596328,27.29932228,0.294158282,43.74768482,71.09665428,56.46811983,261.4745667,214.8791301,109.5295572,149139.5101,56.98684596,99412.76812,7.345997825,199097.8132,129.0491618,102233.7298,21.05846128,1
10.73961982,0.059935637,31.09198058,6.567325244,0.003245866,17.9933716,6.75178162,0.059847681,27.70380693,0.306022197,39.36795916,292.6426297,477.9208398,132.0278241,226.4314427,133.1881775,199536.3425,53.99091371,140154.6965,8.747602477,259134.8585,126.8193291,142915.1208,23.23266955,1
16.56073441,0.653749333,38.90232533,10.63550384,0.023896813,29.5094474,11.09057336,0.095757962,28.60905061,0.300716676,69.63073639,91.38531046,209.4485142,164.7097625,243.7343628,149.1834357,113643.908,40.3675042,66153.35201,10.65100275,162010.5623,107.970767,71964.24819,33.05971258,1
10.4679563,1.101568759,25.74321725,5.611952887,0.127708362,16.40112952,7.695620377,0.066218027,21.85435351,0.288971761,100.6072833,233.583344,1289.572576,206.1199689,244.7593228,351.0761466,90702.17861,43.26380362,32570.29661,9.160833121,149493.0123,108.9769177,37512.87578,26.47570039,1
14.0010677,0.60776788,27.99837133,9.282319645,0.150685097,18.8975559,7.585811785,0.003014386,24.11186407,0.300757909,69.86871034,800.8849288,203.9878745,162.9668053,219.3700511,178.0030212,110655.9721,41.206895,59649.96312,9.495503156,162320.6519,106.4530133,64609.13592,28.1543452,1
8.041914015,0.146789766,29.38521089,5.821565384,0.015387009,29.37604813,3.481582762,0.051103746,24.14644833,0.291000069,68.00448539,38.82365885,35.69200744,59.53742449,242.0991035,120.6926065,42741.76497,101.2485173,9791.474975,10.79843807,77180.06371,217.7177201,16184.48797,23.00055566,0
17.54506817,0.145741058,30.24488401,8.692585578,0.109875784,16.89415816,13.48466652,0.026726714,28.3146553,0.329064732,122.5827968,567.7517595,47.74822069,307.8681782,190.4022635,88.3789264,63092.80898,45.16507267,12955.73542,12.30309317,123632.8187,136.9203003,24665.65362,51.51271808,0
14.01427186,0.203523679,35.09754783,8.878580557,0.099224671,29.77576232,8.785773655,7.08E-04,27.52861584,0.311347838,101.0656704,72.95858073,16.1527744,280.820247,229.4939345,179.8998814,80593.34427,63.34939843,23396.35727,13.62378767,140180.4359,162.4572704,33887.21533,41.5114045,0
7.397908754,0.787393299,36.77810488,4.334333131,0.004967165,27.66851016,4.889201018,0.036603573,24.2297863,0.336106699,180.8545108,220.0940534,260.6057868,6.052855488,388.1438004,496.4555977,38659.28618,100.2771925,21312.62729,16.14635863,100874.4441,232.1337592,34124.52231,36.21536797,0
28.2902062,2.837586877,41.12113414,21.99161787,2.832534452,30,15.18687581,0.005026614,29.41261853,0.315502748,161.0843753,649.7971736,22.47593241,364.9820086,219.8309086,195.209427,56251.56882,44.59912592,11134.35619,11.36988886,118524.6198,128.6889919,21992.82181,43.85749702,0
11.80242865,0.256513482,34.99630003,6.002743227,0.005314602,23.45072324,8.981349897,0.034981239,26.17545516,0.3382495,115.9452779,131.8516911,211.9041946,284.7184677,387.9306751,308.7409986,17444.06055,51.84171561,8103.134373,8.607890714,46148.26071,134.1354671,18121.49759,34.72381965,0
15.12865047,0.212217275,35.63739913,4.268894258,0.030926667,23.53551709,13.9584508,0.096128396,26.78498446,0.323805773,111.101664,415.3826205,217.9452821,690.9876786,740.261212,278.2406769,40413.73416,25.3829698,6109.942973,5.891521708,77560.96103,82.59243367,11992.39342,35.13481472,0
9.025597007,0.037583076,29.94146711,6.130516727,0.008393944,27.11090114,4.251174404,0.002007446,29.94146594,0.306428922,183.1656766,492.8622637,789.1251281,285.9184153,780.3679531,837.1334677,22040.42733,3.734753421,10170.05476,3.916198515,55504.40652,28.58024547,16221.64311,22.66993985,0
7.89826612,0.111886078,30.12308211,4.275420522,0.111674362,22.27318603,4.890758357,0.006879773,29.96672069,0.330797384,182.2267715,381.9448992,1113.218869,1400.335292,1083.4843,655.9070485,17877.19233,3.149591934,4877.642861,2.643942169,40168.31078,21.57583479,9132.080124,16.20783827,0
19.47324695,0.417220495,35.30719088,6.792342307,0.040591476,26.12301904,17.569622,0.412015755,23.81022021,0.341386413,118.631687,17.44175897,461.4341938,464.3397047,553.4122105,394.5508332,32445.09206,9.009860022,6034.332507,3.819023389,63292.01208,46.19598234,11618.7989,30.08324858,0
8.938918871,0.20277599,40.63928316,5.800251308,0.009891022,29.90391579,5.63489597,0.028220915,27.51921432,0.326765406,120.6982999,98.72968096,416.933571,85.83444048,224.2137961,356.5401345,40034.85319,55.89864086,5488.471568,7.24951904,77263.47069,128.2098257,10386.65353,22.06868508,0
14.32114114,0.056158495,38.55604981,5.871843639,0.044466224,26.6235314,12.22750693,0.033663856,27.88828701,0.283897263,138.8637796,117.4139647,101.9072514,672.0960751,418.5241681,114.3166573,80618.84109,43.74317706,13829.08353,11.59982612,154885.3446,125.0468659,25196.83917,42.5042837,0
10.22654953,0.124356579,25.91654097,5.793114547,0.014300508,23.87099956,7.407522357,0.011488099,19.76307906,0.258846762,88.09313893,110.4140823,666.8633277,267.1505326,175.4735821,53.1328923,171183.9427,30.74891558,73510.75971,19.32429578,270344.3775,108.8151484,82354.23599,55.07276152,0
13.85994923,0.075566005,24.04441847,8.004575759,0.030070189,18.78328656,10.03431555,0.053349013,15.66416848,0.283953121,124.6556325,383.4875833,173.8896619,342.2173777,187.8091134,151.2577447,96946.89986,35.83650271,30147.33208,13.14616436,171107.348,114.5992544,44465.08701,50.07272743,0
11.96026278,0.49679995,26.10953035,5.089297719,0.008873261,19.80142824,9.697454543,0.031205093,20.61158128,0.281311824,105.1896989,116.0812316,325.2509498,513.9486301,155.2859318,220.6581432,129124.4392,47.94591581,40176.09314,15.84138255,221812.6516,140.7487895,51083.92874,52.0194607,0
12.5491862,0.291732009,26.03113297,7.476536057,0.069292912,24.11319411,8.427616945,0.165164138,17.66892496,0.260622859,122.5080785,283.2209893,296.0180916,625.7885542,314.1900138,156.4594474,145194.5362,40.12351411,47968.80925,17.84383483,246786.873,125.4203478,62359.39769,53.17169158,0
